cf_id,contact_id,company_name,description,goal,pledged,outcome,backers_count,country,currency,launched_date,end_date,category_id,subcategory_id
147,4661,"Baldwin, Riley and Jackson",Pre-emptive tertiary standardization,100,0,failed,0,CA,CAD,2020-02-13,2021-03-01,cat1,subcat1
1175,2288,Werner-Bryant,Virtual uniform frame,1800,7991,successful,222,US,USD,2020-06-20,2021-01-30,cat1,subcat1
873,2067,Stewart LLC,Cloned bi-directional architecture,1300,12047,successful,113,US,USD,2020-11-29,2021-06-11,cat1,subcat1
2568,5989,Castillo-Carey,Cross-platform solution-oriented process improvement,142400,21307,failed,296,US,USD,2020-05-05,2021-05-30,cat1,subcat1
1211,3307,"Wright, Hartman and Yu",User-friendly tertiary array,3300,12437,successful,131,US,USD,2021-01-29,2021-02-13,cat1,subcat1
990,3489,Morgan-Martinez,Mandatory tertiary implementation,148500,4756,canceled,55,AU,AUD,2021-03-23,2021-12-06,cat1,subcat1
2228,4404,Alexander-Williams,Triple-buffered cohesive structure,7200,6927,failed,210,US,USD,2021-04-17,2021-07-08,cat1,subcat1
509,1867,Mcknight-Freeman,Upgradable scalable methodology,8300,6543,canceled,82,US,USD,2020-08-13,2021-04-22,cat1,subcat1
966,4840,Huff LLC,Face-to-face clear-thinking Local Area Network,121500,119830,failed,2179,US,USD,2021-04-10,2021-10-01,cat1,subcat1
2765,5565,Ho-Harris,Versatile cohesive encoding,7300,717,failed,10,US,USD,2020-12-01,2021-09-28,cat1,subcat1
524,5472,Ramsey and Sons,Grass-roots contextually-based algorithm,3800,1954,failed,49,US,USD,2021-11-23,2022-02-05,cat1,subcat1
2991,4136,Martin-Marshall,Configurable demand-driven matrix,9600,6401,failed,108,IT,EUR,2020-12-19,2021-10-06,cat1,subcat1
2049,1340,Rose-Silva,Intuitive static portal,3300,14643,successful,190,US,USD,2021-01-30,2021-06-25,cat1,subcat1
553,4593,Hensley Ltd,Versatile cohesive open system,199000,142823,failed,3483,US,USD,2021-07-27,2021-11-21,cat1,subcat1
1559,4272,Baker Ltd,Progressive intangible flexibility,6300,14199,successful,189,US,USD,2021-04-18,2021-12-22,cat1,subcat1
2201,3033,Davis and Sons,Innovative human-resource migration,188200,159405,failed,5497,US,USD,2021-05-01,2021-08-28,cat1,subcat1
1003,5799,Jones-Riddle,Self-enabling real-time definition,147800,15723,failed,162,US,USD,2020-10-19,2021-07-20,cat1,subcat1
343,6074,Perry and Sons,Configurable static help-desk,3100,9889,successful,194,GB,GBP,2021-03-04,2022-01-01,cat1,subcat1
3153,2653,Long-Greene,Future-proofed heuristic encryption,2400,12310,successful,173,GB,GBP,2020-07-27,2021-08-21,cat1,subcat1
37,3035,Landry Inc,Synergistic cohesive adapter,29600,77021,successful,1572,GB,GBP,2021-06-19,2021-06-24,cat1,subcat1
1067,1640,Henson PLC,Universal contextually-based knowledgebase,56800,173437,successful,2443,US,USD,2021-07-24,2021-08-08,cat1,subcat1
3019,3274,Ramirez LLC,Multi-tiered maximized orchestration,5900,6608,successful,78,US,USD,2021-04-05,2021-06-12,cat1,subcat1
2654,5200,"Thomas, Welch and Santana",Assimilated exuding toolset,9800,7120,failed,77,US,USD,2021-01-13,2021-05-05,cat1,subcat1
76,3259,"Parker, Haley and Foster",Adaptive local task-force,2700,9967,successful,144,US,USD,2020-06-25,2021-05-27,cat1,subcat1
2313,6020,Williams-Santos,Open-source analyzing monitoring,9400,6852,failed,156,CA,CAD,2021-01-15,2021-04-08,cat1,subcat1
349,4722,Brown-George,Cross-platform tertiary array,100,5,failed,1,GB,GBP,2021-04-20,2021-06-30,cat1,subcat1
766,5019,"Gordon, Mendez and Johnson",Fundamental needs-based frame,137600,180667,successful,2230,US,USD,2020-08-29,2021-08-05,cat1,subcat1
427,1553,"Martin, Lee and Armstrong",Open-architected incremental ability,1600,11108,successful,154,GB,GBP,2020-11-18,2021-08-05,cat1,subcat1
2931,2213,Vargas-Cox,Vision-oriented local contingency,98600,62174,canceled,723,US,USD,2021-05-06,2021-06-22,cat1,subcat1
2467,5103,"Hobbs, Brown and Lee",Vision-oriented systematic Graphical User Interface,118400,49879,failed,504,AU,AUD,2021-02-07,2021-06-11,cat1,subcat1
1814,4796,Davis Ltd,Synchronized motivating solution,1400,14511,successful,363,US,USD,2020-10-11,2021-04-05,cat1,subcat1
2499,4407,"Stafford, Hess and Raymond",Optional web-enabled extranet,2100,540,failed,6,US,USD,2021-09-23,2022-01-18,cat1,subcat1
3098,3599,"Harris, Medina and Mitchell",Enhanced regional flexibility,5200,1583,failed,19,US,USD,2021-01-02,2021-05-11,cat1,subcat1
2978,5815,"Miller, Glenn and Adams",Distributed actuating project,4700,11174,successful,110,US,USD,2021-03-22,2021-06-09,cat1,subcat1
1387,2794,Williams and Sons,Profound composite core,2400,8558,successful,158,US,USD,2021-06-29,2021-10-21,cat1,subcat1
1439,2545,"Ayala, Crawford and Taylor",Realigned 5thgeneration knowledge user,4000,2778,failed,35,US,USD,2021-02-16,2022-01-17,cat1,subcat1
2948,5140,"Kane, Pruitt and Rivera",Cross-platform next generation service-desk,4800,7797,successful,300,US,USD,2021-11-23,2022-01-14,cat1,subcat1
2734,5678,Estrada Group,Multi-lateral uniform collaboration,163600,126628,failed,1229,US,USD,2020-11-08,2021-01-22,cat1,subcat1
2599,4140,Wright-Bryant,Reverse-engineered client-server extranet,19800,153338,successful,1460,AU,AUD,2020-06-20,2021-05-23,cat1,subcat1
1447,1321,Brown-Oliver,Synchronized cohesive encoding,8700,1577,failed,15,US,USD,2021-11-23,2021-12-06,cat1,subcat1
1437,4861,"Peterson, Gonzalez and Spencer",Synchronized fault-tolerant algorithm,7500,11969,successful,114,US,USD,2020-09-16,2021-07-10,cat1,subcat1
3209,4532,"Harris, Russell and Mitchell",User-centric cohesive policy,3600,10657,successful,266,US,USD,2021-01-21,2021-11-02,cat1,subcat1
1755,1377,Gonzalez-White,Open-architected disintermediate budgetary management,2400,8117,successful,114,US,USD,2020-12-21,2021-10-27,cat1,subcat1
1432,2712,Johnson Group,Vision-oriented interactive solution,7000,5177,failed,67,US,USD,2021-04-22,2022-01-08,cat1,subcat1
2986,3684,Manning-Hamilton,Vision-oriented scalable definition,97300,153216,successful,2043,US,USD,2020-12-29,2021-05-30,cat1,subcat1
1788,4939,"Hernandez, Norton and Kelley",Expanded eco-centric policy,111100,62819,canceled,1122,US,USD,2020-12-30,2021-08-18,cat1,subcat1
1621,3765,Odom Inc,Managed bottom-line architecture,1400,14560,successful,158,US,USD,2021-01-25,2021-05-25,cat2,subcat2
2156,4941,"Mcdonald, Gonzalez and Ross",Vision-oriented fresh-thinking conglomeration,4200,2477,failed,24,US,USD,2021-10-21,2022-01-17,cat2,subcat2
2502,6202,"Best, Carr and Williams",Diverse transitional migration,2000,1599,failed,15,US,USD,2021-01-08,2021-10-15,cat2,subcat2
